Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,115.720001,117.000000,104.839996,105.959999,96.099770,230711900
2019-06-01,105.800003,112.430000,105.300003,111.800003,101.396339,248214000
2019-07-01,113.230003,117.239998,112.150002,116.000000,105.205482,232008700
2019-08-01,115.330002,116.800003,104.339996,109.860001,100.342247,259393900
2019-09-01,108.980003,120.400002,107.320000,117.690002,107.493904,229360700
2019-10-01,118.400002,127.419998,110.519997,124.919998,114.097527,251981600
2019-11-01,126.199997,132.429993,126.019997,131.759995,121.308975,191200900
2019-12-01,132.309998,140.080002,128.589996,139.399994,128.343002,212915300
2020-01-01,139.789993,141.100006,129.710007,132.360001,121.861389,247990900
2020-02-01,132.660004,139.289993,112.660004,116.110001,107.586609,240714700
2020-03-01,116.629997,122.949997,76.910004,90.029999,83.421082,734330700
2020-04-01,85.099998,104.389999,82.769997,95.760002,88.730453,531938200
2020-05-01,93.500000,102.949997,82.400002,97.309998,91.103622,497858600
2020-06-01,97.750000,115.769997,92.000000,94.059998,88.060905,536015600
2020-07-01,94.889999,101.290001,90.779999,96.639999,90.476372,432613400
2020-08-01,97.019997,106.430000,95.029999,100.190002,94.713982,319706000
2020-09-01,99.550003,105.209999,91.379997,96.269997,91.008224,390701400
2020-10-01,97.120003,104.449997,95.089996,98.040001,92.681496,325366100
2020-11-01,99.389999,123.500000,97.860001,117.879997,112.471176,333803100
2020-12-01,120.339996,127.330002,118.110001,127.070000,121.239494,274143300
2021-01-01,127.500000,142.750000,123.769997,128.669998,122.766075,318582400
2021-02-01,129.399994,154.899994,128.479996,147.169998,141.428467,229245300
2021-03-01,149.520004,161.690002,147.970001,152.229996,146.291046,399416900
2021-04-01,151.899994,157.250000,146.690002,153.809998,147.809433,288694200
2021-05-01,154.850006,165.699997,152.139999,164.240005,158.762115,248957700
2021-06-01,165.869995,167.440002,147.559998,155.539993,150.352264,356723300
2021-07-01,156.259995,159.160004,145.710007,151.779999,146.717667,280571500
2021-08-01,152.029999,163.830002,149.520004,159.949997,155.506180,208085700
2021-09-01,160.220001,169.300003,150.490005,163.690002,159.142258,234791100
2021-10-01,164.000000,172.960007,160.059998,169.889999,165.170013,231680800
2021-11-01,172.039993,172.330002,158.289993,158.830002,155.347794,203498400
2021-12-01,161.000000,163.389999,151.839996,158.350006,154.878326,251966400
2022-01-01,159.860001,169.809998,139.570007,148.600006,145.342087,373950200
2022-02-01,148.690002,159.029999,139.779999,141.800003,139.522507,288730100
2022-03-01,140.039993,143.929993,127.269997,136.320007,134.130508,390796800
2022-04-01,137.399994,137.410004,118.900002,119.360001,117.442909,303650400
2022-05-01,119.879997,133.149994,115.019997,132.229996,131.070587,313630400
2022-06-01,132.869995,132.869995,110.930000,112.610001,111.622627,268201900
2022-07-01,112.650002,116.500000,106.059998,115.360001,114.348518,239623100
2022-08-01,114.500000,124.239998,111.019997,113.730003,113.730003,258430300
2022-09-01,113.290001,120.050003,111.910004,119.169998,119.169998,61778900
2022-09-09,119.139999,120.050003,118.680000,119.169998,119.169998,9302228
